A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/1/2017 0:00,2017,1,1,0,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 1:00,2017,1,1,1,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 2:00,2017,1,1,2,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 3:00,2017,1,1,3,192,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 4:00,2017,1,1,4,193,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 5:00,2017,1,1,5,181,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 6:00,2017,1,1,6,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 7:00,2017,1,1,7,197,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 8:00,2017,1,1,8,179,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 9:00,2017,1,1,9,186,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 10:00,2017,1,1,10,188,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 11:00,2017,1,1,11,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 12:00,2017,1,1,12,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 13:00,2017,1,1,13,179,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 14:00,2017,1,1,14,198,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 15:00,2017,1,1,15,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 16:00,2017,1,1,16,126,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 17:00,2017,1,1,17,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 18:00,2017,1,1,18,135,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 19:00,2017,1,1,19,133,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 20:00,2017,1,1,20,131,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 21:00,2017,1,1,21,127,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 22:00,2017,1,1,22,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2017 23:00,2017,1,1,23,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2017 0:00,2017,1,2,0,210,µg/m³,1 Hr,Valid
